,patient_id,sample_id,total_sequenced_cells,low_quality_cells,normal_cells,aberrant_normal_cells,sphase_cells,doublets,too_short_135_segment_cells,filter_passing_cells,0xWGD_cells,1xWGD_cells,2xWGD_cells,divergent_cells,0xWGD_divergent_cells,1xWGD_divergent_cells,2xWGD_divergent_cells,highquality_mean_total_mapped_reads,highquality_mean_coverage_depth,highquality_mean_coverage_breadth,highquality_mean_quality,highquality_mean_ploidy,highquality_mean_fraction_loh,highquality_mean_breakpoints,filtered_mean_total_mapped_reads,filtered_mean_coverage_depth,filtered_mean_coverage_breadth,filtered_mean_quality,filtered_mean_ploidy,filtered_mean_fraction_loh,filtered_mean_breakpoints
0,SPECTRUM-OV-002,SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM,905,520,175,25,11,0,0,174,0,172,2,3,0.0,1.0,2.0,2527130.425974026,0.05603791168831169,0.052956205891423636,0.9616675324675326,2.6736334622656117,0.06809766520244458,36.8,2918074.511494253,0.0651046264367816,0.061061317924619926,0.9409425287356321,3.3202648125191945,0.12198513564908718,57.01724137931034
1,SPECTRUM-OV-002,SPECTRUM-OV-002_S1_RIGHT_OVARY,1320,217,270,8,21,2,1,801,0,790,11,14,0.0,4.0,10.0,6202719.126926564,0.09856546509519491,0.08961790714277963,0.9940344514959203,2.9969744278697084,0.08967605061063405,81.02538531278331,6739821.981273408,0.10831234956304618,0.09803370417270282,0.9948314606741573,3.313029142243081,0.11901196574135267,95.25967540574283
2,SPECTRUM-OV-003,SPECTRUM-OV-003_S1_INFRACOLIC_OMENTUM,1092,553,260,19,16,5,0,239,0,236,3,4,0.0,1.0,3.0,2402601.7903525047,0.05584923191094619,0.05259871042512982,0.9828719851576995,2.576487493623512,0.1710035263318008,79.02597402597402,2657949.539748954,0.06419105020920501,0.05997812404543359,0.9734644351464434,3.0408456103593204,0.34794225361639625,133.5732217573222
3,SPECTRUM-OV-003,SPECTRUM-OV-003_S1_PELVIC_PERITONEUM,270,237,29,1,0,0,0,3,0,3,0,0,,,,1701763.878787879,0.029913909090909088,0.028818978291523745,0.9843636363636364,2.121200363582331,0.040471691510952444,23.060606060606062,1050453.0,0.018896,0.018192568706921132,0.91,2.9891385844099254,0.3937644341801385,129.66666666666666
4,SPECTRUM-OV-004,SPECTRUM-OV-004_S1_INFRACOLIC_OMENTUM,1720,385,668,108,46,21,4,488,469,16,3,13,0.0,11.0,2.0,5872822.85917603,0.10464531086142323,0.0966760640833371,0.9947610486891386,2.0706304784263763,0.13125705106459742,50.620224719101124,5963069.950819672,0.10697509016393442,0.09805450808178418,0.9935122950819673,2.0890477075600846,0.30112891464755415,68.05737704918033
5,SPECTRUM-OV-004,SPECTRUM-OV-004_S1_LEFT_ADNEXA,2590,967,95,10,122,143,2,1251,1202,39,10,44,5.0,29.0,10.0,2118640.1065927297,0.04754408934072705,0.04502681953270554,0.982007393715342,2.1086012414645943,0.19684978991641383,73.30252618607517,2045111.2366107113,0.044231239008792965,0.04198301331180726,0.98624620303757,2.0744080999585433,0.20808391314143887,67.43565147881695
6,SPECTRUM-OV-004,SPECTRUM-OV-004_S1_RIGHT_ADNEXA,1428,1002,303,59,2,9,0,53,52,1,0,1,0.0,1.0,0.0,3146352.1784037556,0.06585017370892018,0.06193090457786475,0.9801126760563381,2.1212324731534977,0.0545916661527125,46.79577464788732,3111262.3018867923,0.06435450943396226,0.06034258595000079,0.9816603773584905,2.0029296455438628,0.31235351159079344,65.94339622641509
7,SPECTRUM-OV-006,SPECTRUM-OV-006_S1_INFRACOLIC_OMENTUM,1620,307,179,144,94,2,1,893,825,68,0,0,,,,6263636.496572734,0.10148092307692308,0.09321471685941492,0.94203808073115,2.0023685134815135,0.312745232856619,115.08910891089108,6083884.031354983,0.09852888017917133,0.09037637629259374,0.9276461366181411,1.969678452669808,0.4110564161585998,132.92609182530796
8,SPECTRUM-OV-007,SPECTRUM-OV-007_S1_INFRACOLIC_OMENTUM,380,222,61,16,3,0,0,78,77,0,1,1,0.0,0.0,1.0,4452432.1329113925,0.10919639240506328,0.100577100774029,0.9799367088607596,1.9170916723846296,0.25755146146139835,68.87974683544304,4343247.320512821,0.10638635897435897,0.09741099513590894,0.967025641025641,1.778577395647026,0.49865030439943325,105.16666666666667
9,SPECTRUM-OV-007,SPECTRUM-OV-007_S1_PELVIC_PERITONEUM,860,727,28,7,7,2,2,87,85,2,0,0,,,,20021850.62406015,0.09715081954887218,0.0860246521395708,0.9506616541353383,1.917157485051627,0.36715981092602085,87.85714285714286,18591804.49425287,0.0882659540229885,0.07825921979257823,0.9404137931034483,1.776347463876296,0.4957461538021432,106.05747126436782
