leaf_id,sample_id,n_cells,cluster_size,patient_id
0,SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM,70,823,SPECTRUM-OV-002
0,SPECTRUM-OV-002_S1_RIGHT_OVARY,768,823,SPECTRUM-OV-002
1,SPECTRUM-OV-002_S1_INFRACOLIC_OMENTUM,104,134,SPECTRUM-OV-002
1,SPECTRUM-OV-002_S1_RIGHT_OVARY,33,134,SPECTRUM-OV-002
0,SPECTRUM-OV-003_S1_INFRACOLIC_OMENTUM,25,23,SPECTRUM-OV-003
0,SPECTRUM-OV-003_S1_PELVIC_PERITONEUM,0,23,SPECTRUM-OV-003
1,SPECTRUM-OV-003_S1_INFRACOLIC_OMENTUM,214,215,SPECTRUM-OV-003
1,SPECTRUM-OV-003_S1_PELVIC_PERITONEUM,3,215,SPECTRUM-OV-003
0/2,SPECTRUM-OV-004_S1_INFRACOLIC_OMENTUM,46,1287,SPECTRUM-OV-004
0/2,SPECTRUM-OV-004_S1_LEFT_ADNEXA,1251,1287,SPECTRUM-OV-004
0/2,SPECTRUM-OV-004_S1_RIGHT_ADNEXA,0,1287,SPECTRUM-OV-004
1,SPECTRUM-OV-004_S1_INFRACOLIC_OMENTUM,442,490,SPECTRUM-OV-004
1,SPECTRUM-OV-004_S1_LEFT_ADNEXA,0,490,SPECTRUM-OV-004
1,SPECTRUM-OV-004_S1_RIGHT_ADNEXA,53,490,SPECTRUM-OV-004
0/1/3,SPECTRUM-OV-006_S1_INFRACOLIC_OMENTUM,789,723,SPECTRUM-OV-006
2/4,SPECTRUM-OV-006_S1_INFRACOLIC_OMENTUM,104,102,SPECTRUM-OV-006
1,SPECTRUM-OV-007_S1_INFRACOLIC_OMENTUM,69,69,SPECTRUM-OV-007
1,SPECTRUM-OV-007_S1_PELVIC_PERITONEUM,0,69,SPECTRUM-OV-007
3,SPECTRUM-OV-007_S1_INFRACOLIC_OMENTUM,0,67,SPECTRUM-OV-007
